model_name,best_cv_roc_auc_ovr,best_params
Logistic Regression,0.9917889053209095,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""saga""}"
K-Nearest Neighbors,0.9690732384724224,"{""n_neighbors"": 7, ""weights"": ""distance""}"
Extra Trees,0.980098986464494,"{""max_depth"": 30, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
Calibrated SVM,0.9894979404181061,"{""estimator__C"": 1}"
Ridge Classifier,,"{""alpha"": 0.1, ""solver"": ""auto""}"
Stochastic Gradient Descent (SGD),0.9876083761700667,"{""alpha"": 0.0001, ""loss"": ""log_loss"", ""max_iter"": 1000}"
Decision Tree,0.8948754007112975,"{""max_depth"": null, ""min_samples_split"": 10}"
Support Vector Machine (SVM),0.9934874145064276,"{""C"": 1, ""kernel"": ""rbf""}"
Linear Support Vector Machine (LinearSVC),,"{""C"": 0.1}"
Random Forest,0.984391396465836,"{""class_weight"": ""balanced"", ""max_depth"": 50, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
LightGBM,0.9891057145553015,"{""learning_rate"": 0.1, ""n_estimators"": 200, ""num_leaves"": 40, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}"
Multinomial Naive Bayes,0.9900166333533418,"{""alpha"": 0.01}"
XGBClassifier,0.9866168869360321,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200, ""subsample"": 0.8}"
